questions,guesses,slips
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/install-ruby-and-ror3-windows-users/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/frequently-asked-questions/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/helpful-resources/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/fora-discussion/,0.5,0.5
Overview/edX Tutorial/vertical_716814cd7576/edX: Discussion,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/python-feed-validator-install-howto/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/class-projects/,0.5,0.5
Overview/edX Tutorial/vertical_716814cd7576/edX: Wiki,0.5,0.5
Overview/edX Tutorial/vertical_716814cd7576/edX: Summary,0.5,0.5
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing/Quiz 0,1.51871039663596e-11,0.325974787471675
Overview,0.5,0.5
Week 1/Lecture 1: Course Introduction/vertical_059aaf420eb2/L1P1: Epic failure,0.563672827034212,0.125110303059488
Week 1,0.5,0.5
Week 1/Lecture 1: Course Introduction/vertical_76edff63c3c4/L1P2: Development Processes,0.502748814125804,0.222537435034574
Week 1/Lecture 1: Course Introduction/vertical_4b4892440344/L1P3: Testing,0.567059570203167,5.09225317054324e-05
Week 1/Lecture 1: Course Introduction/vertical_28c3765855ce/L1P4: Productivity,0.521871745707632,0.226516576854838
Week 1/Lecture 1: Course Introduction/vertical_d56069e72b8a/L1P5: SaaS,0.45203704074588,0.347553380548651
Week 1/Lecture 1: Course Introduction/vertical_adc1c805b964/L1V3: Assurance,0.5,0.5
Week 1/Lecture 1: Course Introduction/vertical_c7a68d73a062/L1V4: Productivity,0.5,0.5
Week 1/Lecture 1: Course Introduction/vertical_2b8a007b9159/L1V5: Software as a Service,0.5,0.5
Week 1/Lecture 1: Course Introduction/vertical_c97aae8e7b35/L1V6: Conclusion,0.5,0.5
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing/vertical_95d44c19e407/L2P1: SOA,0.638575161925011,0.38046160773739
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing/vertical_438c04ad80b8/L2V2: Cloud Computing Part 1,0.5,0.5
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing/vertical_e0093d8c089e/L2V3: Cloud Computing Part 2,0.5,0.5
Week 1/Lecture 2: Service Oriented Architecture and Cloud Computing/vertical_15ed26177b0d/L2V4: Conclusion,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/fora-discussion/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/_history/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/already-have-ubuntu-system-installing-and-using-la/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/helpful-resources/,0.5,0.5
Week 5,0.5,0.5
Week 4/Lecture 8: Behavior Driven Design/vertical_5af58cc385c5/L8V2: SMART User Stories,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_9114ef5bd5f7/L9V1: Enhancing Rotten Potatoes,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_7401622c2cc2/L9V2: Implicit and explicit scenarios,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_9f5874ea7b9d/L9V3: BDD conclusion and web architecture,0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_8ff77c8fd363/L10V6: Conclusion,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/homework-errata/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/illustrated-vm-install/${static.url('js/html5shiv.js')}/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/lecture-download/,0.5,0.5
Week 4,0.5,0.5
Week 3/Lecture 6: Basic Rails,0.5,0.5
Week 3/Lecture 6: Basic Rails/vertical_83fcb829e42a/L6V2: ActiveRecord and CRUD,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/frequently-asked-questions/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/transcript-errata/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/${static.url('js/html5shiv.js')}/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/getting-started/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/${static.url('js/html5shiv.js')}/,0.5,0.5
Week 3,0.5,0.5
Week 2/Homework 1/hw1-2/HW 1-2: Rock-Paper-Scissors,0.5,0.5
Week 2/Homework 1/hw1-3/HW 1-3: Anagrams,0.5,0.5
Week 2/Homework 1/hw1-4/HW 1-4: Basic Object Oriented Programming,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS50x/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/6.00x/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS188.1x/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS188.1x/download/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS188.1x/youtube-links/,0.5,0.5
Week 2/Lecture 3: Introduction to Ruby/vertical_d3c92b32315a/L3V3: Conclusion,0.5,0.5
Week 2/Lecture 3: Introduction to Ruby/vertical_8fe9333dfba8/L3P1: Regular Expression Syntax,1,0
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/lecture-download/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/_dir/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/_dir/,0.5,0.5
Week 3/Lecture 6: Basic Rails/vertical_94d9300d84ec/L6P2: Model Objects,0.275405440632407,0.755517206740944
Week 3/Lecture 6: Basic Rails/vertical_dd99a6951da1/L6V3: Controllers and Views,0.5,0.5
Week 3/Lecture 6: Basic Rails/vertical_438cb6bf17e9/L6P3: Route URIs,1,0
Week 3/Lecture 6: Basic Rails/vertical_978b15c1423e/L6V4: Dealing with Forms,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_ac25e010156d/L4V9: Conclusion,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/install-ruby-and-ror3-windows-users/_dir/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/youtube-links/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/youtube-links/all-weeks/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/non-profit-recruitment-letter/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/class-projects/email-feedback/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/class-projects/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/improvements-discussion-forums/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/quiz-errata/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/transcript-errata/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/improvements-discussion-forums/_history/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/helpful-resources/_dir/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/_dir/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/install-ruby-and-ror3-windows-users/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/_edit/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/homework-errata/${static.url('js/html5shiv.js')}/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/frequently-asked-questions/${static.url('js/html5shiv.js')}/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/video-errata/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/rails_basics/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/edX/wiki-editing-guide/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/edX/Playground/,0.5,0.5
Week 3/Lecture 6: Basic Rails/vertical_5d07b8046448/L6P4: The Session,0.483947370643313,0.356621179105723
Week 3/Lecture 6: Basic Rails/vertical_b1edde5b1b73/L6V6: Conclusion,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_5e743489d4cd/L5P4: RESTful Routes,0.463044552182587,0.0240750495253655
/courses/DemoX/CS999.1x/2020_Spring/wiki/${static.url('js/html5shiv.js')}/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/youtube-links/week-1/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/youtube-links/overview/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/youtube-links/week-2/,0.5,0.5
Week 4/Homework 3,0.5,0.5
Week 4/Homework 3/hw3-3/HW 3 Submission,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/_dir/,0.5,0.5
Week 3/Lecture 6: Basic Rails/vertical_1f26de1c1f4d/L6V1: Databases with Rails,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_f7c0e87fd6bd/L5V5: Introduction to Rails,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_885203f8fb53/L5P5: Rendering,0.450379711399919,2.79505668653984e-15
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/getting-started/_dir/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/getting-started/troubleshooting/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/youtube-links/week-3/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/rails_basics/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/lecture-1-download/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/lecures-downloads/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/getting-started/troubleshooting/_dir/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS188.1x/python-resources/,0.5,0.5
Week 3/Lecture 6: Basic Rails/vertical_0cf91203db41/L6P1: Rails Migrations,1,0
Week 5/Homework 4,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/cache/3b4211260b4565f8511d0f5b1e7c45a9/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/install-ruby-and-ror3-windows-users/cache/3b4211260b4565f8511d0f5b1e7c45a9/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/cache/3b4211260b4565f8511d0f5b1e7c45a9/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/header-logo.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-1.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-5.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-6.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-7.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-8.jpg/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-9.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-10.jpg/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/vm-guide-notes.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/3.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/1.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/_create/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/6.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/7.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/8.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/9.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/10.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/5.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/15.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/16.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/17.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/18.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/11.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/14.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/19.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/p1.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/p2.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/p3.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/13.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/p4.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/youtube-sharing.849d8165b998.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/google-plus-sharing.947c2e39edb9.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/twitter-sharing.b637ddbd06cb.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/12.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/facebook-sharing.ef6d12f8c0ab.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/illustrated-vm-install/4.png/,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/_create/,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_72714b255c63/L5P1: Tiers,1,0
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_7e1355432af6/L5V2: Model-View-Controller,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_688ca7f1d229/L5P2: Model-View-Controller,0,1
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_2190f9d5c631/L5V3: ActiveRecord,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/class-projects/_dir/,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_fd032ca2d433/L5P3: Model-View-Controller,1,0
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_4b98908fc524/L5V6: Conclusion,0.5,0.5
Week 3/Lecture 5: SaaS Architecture and Introduction to Rails/vertical_de057f6f5bf1/Space Invaders (Optional),0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_8c4a0f309f7e/(Optional) Autograders,0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_180d6310e7e3/L10V3: The TDD Cycle: Red-Green-Refactor,0.5,0.5
Week 3/Homework 2/hw2-3/RottenPotatoes Enhancement #3: Remember the Settings,0.5,0.5
Week 5/Homework 4/hw4-1/Homework 4,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_3a5a0cb6004b/L9V5: HAML continued,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_a9e4555a5f36/L9V4: HAML and views,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_5cca80ad9bb3/L9P5: Code in Rails Views,1,0
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_3d6b85d7554e/L9P6: SaaS Scalability,1,0
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_2c151ea50d50/L9V6: Rails models,0.5,0.5
/courses/DemoX/CS999.1x/2020_Spring/wiki/CS999.1x/class-projects/_edit/,0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_7d8c25e9f2d7/L10V4:RSpec and Refactoring,0.5,0.5
Week 5/Lecture 10: Test Driven Development/vertical_46c199473117/L10V5: RSpec and Refactoring Continued,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_52b4b9f8c230/L4V5: Review of Ruby features,0.5,0.5
Week 2/Lecture 4: Ruby continued/vertical_605ace25ae30/L4V6: Metaprogramming,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/youtube-links/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/youtube-links/all-weeks/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/youtube-links/week-1/,0.5,0.5
Week 4/Lecture 8: Behavior Driven Design/vertical_5f728789906f/L8V3: Introduction to Cucumber and Capybara,0.5,0.5
Week 4/Lecture 8: Behavior Driven Design/vertical_dac252616955/L8V4: SaaS user interface design,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/python-feed-validator-install-howto/,0.5,0.5
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/video-errata/,0.5,0.5
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_4cffd6f28674/L9P2: Implicit and Explicit Scenarios,1,0
Week 4/Lecture 9: Behavior Driven Design Part 2/vertical_d56f8eb50012/L9P3: BDD and User Interface Design,1,0
/courses/DemoX/CS999.1x/2012_Fall/wiki/CS999.1x/redirection_flash/_dir/,0.5,0.5
